,0
532,1610546
533,1610527
534,1610523
535,1610519
536,1610507
537,1610497
538,1610494
539,1610490
540,1610489
541,1610475
542,1610468
543,1610467
544,1610464
545,1610454
546,1610452
547,1610448
548,1610440
549,1610418
550,1610416
551,1610411
552,1610408
553,1610406
554,1610397
555,1610391
556,1610377
557,1610374
558,1610372
559,1610367
560,1610363
561,1610355
562,1610337
563,1610333
564,1610328
565,1610316
566,1610312
567,1610307
568,1610300
569,1610293
570,1610280
571,1610279
572,1610275
573,1610262
574,1610252
575,1610249
576,1610230
577,1610201
578,1610200
579,1610192
580,1610183
581,1610177
582,1610155
583,1610147
584,1610138
585,1610121
586,1610116
587,1610106
588,1610096
589,1610083
590,1610064
591,1610050
592,1610045
593,1610039
594,1610024
595,1610020
596,1610019
597,1610014
598,1610002
599,1609978
600,1609971
601,1609967
602,1609959
603,1609956
604,1609954
605,1609940
606,1609934
607,1609919
608,1609914
609,1609909
610,1609905
611,1609903
612,1609899
613,1609885
614,1609883
615,1609880
616,1609873
617,1609866
618,1609861
619,1609845
620,1609831
621,1609829
622,1609820
623,1609811
624,1609810
625,1609783
626,1609774
627,1609773
628,1609751
629,1609742
630,1609733
631,1609726
632,1609723
633,1609712
634,1609708
635,1609683
636,1609675
637,1609663
638,1609659
639,1609644
640,1609640
641,1609633
642,1609631
643,1609625
644,1609623
645,1609622
646,1609552
647,1609548
648,1609539
649,1609515
650,1609503
651,1609477
652,1609413
653,1609346
654,1609326
655,1609204
656,1609178
657,1609161
658,1609137
659,1609082
660,1609072
661,1609042
662,1609037
663,1609019
664,1609007
665,1609004
666,1608989
667,1608987
668,1608973
669,1608968
670,1608967
671,1608924
672,1608872
673,1608861
674,1608852
675,1608841
676,1608836
677,1608831
678,1608825
679,1608809
680,1608804
681,1608789
682,1608768
683,1608766
684,1608761
685,1608726
686,1608720
687,1608710
688,1608702
689,1608699
690,1608692
691,1608683
692,1608681
693,1608658
694,1608646
695,1608643
696,1608635
697,1608630
698,1608606
699,1608590
700,1608572
701,1608568
702,1608562
703,1608559
704,1608554
705,1608536
706,1608526
707,1608520
708,1608486
709,1608476
710,1608469
711,1608467
712,1608461
713,1608453
714,1608451
715,1608447
716,1608445
717,1608439
718,1608436
719,1608432
720,1608422
721,1608416
722,1608412
723,1608406
724,1608389
725,1608386
726,1608380
727,1608378
728,1608359
729,1608330
730,1608329
731,1608322
732,1608320
733,1608295
734,1608284
735,1608281
736,1608271
737,1608269
738,1608267
739,1608259
740,1608239
741,1608228
742,1608226
743,1608219
744,1608211
745,1608192
746,1608191
747,1608181
748,1608171
749,1608169
750,1608159
751,1608157
752,1608144
753,1608132
754,1608124
755,1608108
756,1608099
757,1608098
758,1608091
759,1608086
760,1608080
761,1608069
762,1608065
763,1608062
764,1608027
765,1608023
766,1608022
767,1608020
768,1608016
769,1607995
770,1607980
771,1607939
772,1607922
773,1607907
774,1607902
775,1607888
776,1607872
777,1607866
778,1607865
779,1607864
780,1607863
781,1607859
782,1607847
783,1607846
784,1607839
785,1607827
786,1607788
787,1607754
788,1607752
789,1607741
790,1607729
791,1607677
792,1607672
793,1607671
794,1607666
795,1607662
796,1607661
797,1607655
798,1607645
799,1607640
800,1607638
801,1607618
802,1607615
803,1607604
804,1607565
805,1607560
806,1607555
807,1607553
808,1607526
809,1607520
810,1607517
811,1607511
812,1607508
813,1607505
814,1607500
815,1607483
816,1607481
817,1607470
818,1607467
819,1607454
820,1607445
821,1607444
822,1607443
823,1607438
824,1607435
825,1607432
826,1607424
827,1607414
828,1607410
829,1607405
830,1607403
831,1607391
832,1607383
833,1607365
834,1607363
835,1607353
836,1607350
837,1607329
838,1607305
839,1607303
840,1607287
841,1607266
842,1607260
843,1607252
844,1607251
845,1607247
846,1607246
847,1607245
848,1607236
849,1607231
850,1607227
851,1607210
852,1607203
853,1607201
854,1607197
855,1607174
856,1607171
857,1607160
858,1607159
859,1607156
860,1607151
861,1607148
862,1607142
