0,2013 KIA,OPTIMA,EX Sedan 4D,"4-Cyl, 2.4 Liter",24 City / 35 Hwy,White,Beige,"Auto, 6-Spd Sportmatic",4 Door Sedan,1,"$11,990","74,283 miles"
1,2019 VOLKSWAGEN,GOLF SPORTWAGEN,TSI S Wagon 4D ,"4-Cyl, Turbo, 1.4 Liter",27 City / 36 Hwy,Black,Black,"Automatic, 8-Spd & Tiptronic",4 Door Wagon,1,"$17,590"," 11,755 miles"
2,2017 NISSAN,SENTRA,S Sedan 4D,"4-Cyl, 1.8 Liter",27 City / 37 Hwy,Silver,Black,"Auto, CVT W/Xtronic",4 Door Sedan,1,"$12,590","30,622 miles"
3,2014 LEXUS,ES,ES 350 Sedan 4D ,"V6, 3.5 Liter",21 City / 31 Hwy,Red,Beige,"Auto, 6-Spd SeqShft",4 Door Sedan,1,"$17,990"," 62,428 miles"
4,2015 FORD,TRANSIT CONNECT CARGO,XLT Van 4D,"4-Cyl, 2.5 Liter",21 City / 29 Hwy,White,Charcoal Black Cloth Seats,"Auto, 6-Spd SelShft",4 Door Van,3,"$18,990","17,888 miles"
5,2016 MERCEDES-BENZ,C-CLASS,C 300 Sedan 4D ,"4-Cyl, Turbo, 2.0 Liter",25 City / 34 Hwy,Silver,Black,"Auto, 7-Spd 7G-Tronic +",4 Door Sedan,1,"$21,990"," 41,940 miles"
6,2014 MAZDA,CX-5,Grand Touring Sport Utility 4D,"4-Cyl, SKYACTIV-G, 2.5L",24 City / 30 Hwy,Blue,Black,"Auto, 6-Spd W/MM",4 Door SUV,2,"$15,990","67,821 miles"
7,2016 FORD,FOCUS,SE Sedan 4D,"4-Cyl, Flex Fuel, 2.0L",27 City / 40 Hwy,White,Med Light Stone Cloth Seats,"Auto, 6-Spd Powershift",4 Door Sedan,1,"$9,990","77,299 miles"
8,2019 NISSAN,ARMADA,SL Sport Utility 4D ,"V8, 5.6 Liter",14 City / 19 Hwy,Blue,Black,"Auto, 7-Spd Synch Rev",4 Door SUV,2,"$32,990"," 35,260 miles"
9,2013 LAND ROVER,RANGE ROVER SPORT,HSE Sport Utility 4D,"V8, 5.0 Liter",13 City / 18 Hwy,White,Black,"Auto, 6-Spd W/CmdShft",4 Door SUV,2,"$25,990","54,573 miles"
10,2013 LEXUS,CT,CT 200h Hatchback 4D,"4-Cyl, Hybrid, 1.8 Liter",43 City / 40 Hwy,Black,Black,"Automatic, CVT",4 Door Hatchback,1,"$14,990","71,828 miles"
11,2013 FORD,ESCAPE,SE Sport Utility 4D,"4-Cyl, EcoBoost, 1.6L",23 City / 33 Hwy,Red,Charcoal Black Cloth Seats,"Auto, 6-Spd W/SelShft",4 Door SUV,2,"$11,990","58,640 miles"
12,2018 CHEVROLET,CAMARO,SS Coupe 2D ,"V8, 6.2 Liter",16 City / 25 Hwy,White,Black,"Manual, 6-Spd",2 Door Coupe,1,"$33,990"," 10,164 miles"
13,2016 KIA,SOUL,Wagon 4D,"4-Cyl, 1.6 Liter",24 City / 30 Hwy,Green,Black,"Auto, 6-Spd Sportmatic",4 Door Wagon,2,"$12,990","29,784 miles"
14,2014 LEXUS,IS,IS 250 Sedan 4D ,"V6, 2.5 Liter",21 City / 30 Hwy,Gray,Black,"Automatic, 6-Spd",4 Door Sedan,2,"$20,590"," 42,223 miles"
15,2017 HONDA,ACCORD,LX Sedan 4D,"4-Cyl, I-VTEC, 2.4 Liter",27 City / 36 Hwy,Gray,Tan,"Auto, CVT W/Sport Mode",4 Door Sedan,2,"$15,990","37,386 miles"
16,2015 NISSAN,ALTIMA,2.5 S Sedan 4D,"4-Cyl, 2.5 Liter",27 City / 38 Hwy,Silver,Dk. Gray,"Automatic, Xtronic CVT",4 Door Sedan,1,"$12,590","20,059 miles"
17,2018 ACURA,TLX,3.5 Sedan 4D ,"V6, I-VTEC, 3.5 Liter",20 City / 32 Hwy,White,Tan,"Auto, 9-Spd W/SprtShft",4 Door Sedan,2,"$24,990"," 28,542 miles"
18,2016 DODGE,DART,SE Sedan 4D,"4-Cyl, Tigershark, 2.0L",25 City / 36 Hwy,Silver,Black,"Manual, 6-Spd",4 Door Sedan,1,"$9,990","47,582 miles"
19,2013 HYUNDAI,ELANTRA,GT Hatchback 4D,"4-Cyl, 1.8 Liter",27 City / 37 Hwy,Black,Black,"Auto, 6-Spd W/Shftrnc",4 Door Hatchback,2,"$11,990","72,203 miles"
20,2013 MERCEDES-BENZ,C-CLASS,C 300 4MATIC Luxury Sedan 4D,"V6, 3.5 Liter",20 City / 29 Hwy,Silver,Black,"Auto, 7-Spd Touch Shift",4 Door Sedan,2,"$13,990","81,023 miles"
21,2017 FORD,MUSTANG,GT Premium Coupe 2D ,"V8, 5.0 Liter",15 City / 24 Hwy,Silver,Ebony Recaro Lthr Trim Seat,"Auto, 6-Spd SelectShift",2 Door Coupe,2,"$29,990"," 22,219 miles"
22,2018 VOLKSWAGEN,TIGUAN,2.0T SEL 4MOTION Sport Utility 4D ,"4-Cyl, Turbo, 2.0 Liter",21 City / 27 Hwy,Black,Black,"Auto, 8-Spd Tiptronic Spt",4 Door SUV,2,"$22,990"," 21,280 miles"
23,2014 VOLKSWAGEN,GOLF,2.5L Hatchback Sedan 4D,"5-Cyl, PZEV, 2.5 Liter",23 City / 30 Hwy,Silver,Black,"Auto, 6-Spd W/Tptrnc SM",4 Door Sedan,2,"$10,990","42,768 miles"
24,2019 TOYOTA,C-HR,Limited Sport Utility 4D ,"4-Cyl, 2.0 Liter",27 City / 31 Hwy,White,Black,"Automatic, CVTi-S",4 Door SUV,2,"$19,990"," 9,888 miles"
25,2012 SCION,TC,Hatchback Coupe 2D,"4-Cyl, 2.5 Liter",23 City / 31 Hwy,Black,Black,"Auto, 6-Spd W/OD",2 Door Hatchback,2,"$10,590","76,995 miles"
26,2015 KIA,OPTIMA,LX Sedan 4D ,"4-Cyl, 2.4 Liter",23 City / 34 Hwy,White,Gray,"Auto, 6-Spd Sportmatic",4 Door Sedan,2,"$12,590"," 25,800 miles"
27,2016 MERCEDES-BENZ,C-CLASS,C 300 Sedan 4D,"4-Cyl, Turbo, 2.0 Liter",25 City / 34 Hwy,Silver,Gray,"Auto, 7-Spd 7G-Tronic +",4 Door Sedan,2,"$24,990","25,514 miles"
28,2019 LEXUS,IS,IS 300 Sedan 4D ,"4-Cyl, Turbo, 2.0 Liter",21 City / 30 Hwy,Gray,Black,"Automatic, 8-Spd Sport W/Direct Shift",4 Door Sedan,2,"$30,990"," 12,781 miles"
29,2013 AUDI,A4,Premium Sedan 4D,"4-Cyl, Turbo, 2.0 Liter",24 City / 31 Hwy,White,Beige,"Auto, CVT Multitronic",4 Door Sedan,2,"$16,590","45,792 miles"
30,2012 LEXUS,ES,ES 350 Sedan 4D,"V6, 3.5 Liter",19 City / 28 Hwy,Beige,Lt. Gray,"Automatic, 6-Spd",4 Door Sedan,1,"$13,990","90,029 miles"
