0,2019 NISSAN,KICKS,SV Sport Utility 4D,"4-Cyl, 1.6 Liter",31 City / 36 Hwy,Blue,Charcoal,"Auto, CVT Xtronic",4 Door SUV,1,"$16,590","35,818 miles"
1,2013 CADILLAC,XTS,Luxury Collection Sedan 4D,"V6, Flex Fuel, 3.6 Liter",17 City / 26 Hwy,Gold,Beige,"Automatic, 6-Spd",4 Door Sedan,2,"$16,590","83,798 miles"
2,2013 LINCOLN,MKX,Sport Utility 4D,"V6, 3.7 Liter",17 City / 23 Hwy,Blue,Beige,"Auto, 6-Spd W/SelShft",4 Door SUV,1,"$17,990","72,241 miles"
3,2017 CHEVROLET,TRAVERSE,LT Sport Utility 4D,"V6, 3.6 Liter",15 City / 22 Hwy,Black,Ebony,"Automatic, 6-Spd",4 Door SUV,1,"$20,990","53,488 miles"
4,2017 VOLKSWAGEN,PASSAT,1.8T SE Sedan 4D,"4-Cyl, Turbo, 1.8 Liter",23 City / 34 Hwy,Gray,Moonrock Gray W/ Quartz Piping,"Auto, 6-Spd Tiptronic Spt",4 Door Sedan,1,"$16,590","30,112 miles"
5,2018 ALFA ROMEO,STELVIO,Ti Sport Utility 4D,"4-Cyl, Turbo, 2.0 Liter",22 City / 28 Hwy,Black,Black/Black Interior Colors,"Automatic, 8-Spd",4 Door SUV,1,"$30,590","24,713 miles"
6,2017 NISSAN,FRONTIER KING CAB,SV Pickup 2D 6 ft,"V6, 4.0 Liter",15 City / 21 Hwy,White,Beige,"Automatic, 5-Spd",2 Door Truck,2,"$22,990","66,011 miles"
7,2019 FORD,ECOSPORT,Titanium Sport Utility 4D,"4-Cyl, 2.0 Liter",23 City / 29 Hwy,Black,Black,"Automatic, 6-Spd W/SelectShift",4 Door SUV,1,"$17,990","38,507 miles"
8,2014 LINCOLN,MKZ,Hybrid Sedan 4D,"4-Cyl, Hybrid, 2.0 Liter",38 City / 37 Hwy,Red,Beige,"Automatic, CVT",4 Door Sedan,1,"$16,590","56,937 miles"
9,2015 HONDA,FIT,EX Hatchback 4D,"4-Cyl, I-VTEC, 1.5 Liter",32 City / 38 Hwy,Silver,Black,"Auto, CVT G-Shft Ctrl",4 Door Hatchback,1,"$14,990","32,002 miles"
10,2013 CADILLAC,ATS,2.5L Standard Sedan 4D,"4-Cyl, 2.5 Liter",22 City / 33 Hwy,White,Caramel W/Jet Black Accents,"Automatic, 6-Spd",4 Door Sedan,1,"$13,990","89,054 miles"
11,2018 SUBARU,LEGACY,2.5i Premium Sedan 4D,"4-Cyl, PZEV, 2.5 Liter",25 City / 34 Hwy,Red,Ivy,"Auto, CVT W/Manual Mode",4 Door Sedan,2,"$18,990","22,472 miles"
12,2020 KIA,RIO,S Sedan 4D,"4-Cyl, 1.6 Liter",33 City / 41 Hwy,Blue,Black,"Automatic, IVT",4 Door Sedan,1,"$14,990","12,135 miles"
13,2017 LINCOLN,MKC,Select Sport Utility 4D,"4-Cyl, EcoBoost, 2.0T",19 City / 25 Hwy,Black,Black,"Auto, 6-Spd SelectShift",4 Door SUV,1,"$20,590","44,923 miles"
14,2014 KIA,CADENZA,Premium Sedan 4D,"V6, GDI, 3.3 Liter",19 City / 28 Hwy,White,Black,"Auto, 6-Spd Sportmatic",4 Door Sedan,1,"$14,590","80,531 miles"
15,2014 VOLVO,S80,3.2 Sedan 4D,"6-Cyl, 3.2 Liter",20 City / 29 Hwy,Silver,Black,"Automatic, 6-Spd Geartronic",4 Door Sedan,1,"$14,990","52,859 miles"
16,2015 VOLKSWAGEN,GOLF GTI,S Hatchback Sedan 4D,"4-Cyl, Turbo, PZEV, 2.0 Liter",25 City / 34 Hwy,Red,Titan Black Cloth,"Manual, 6-Spd",4 Door Sedan,2,"$17,990","46,650 miles"
17,2015 AUDI,TT,Quattro Roadster 2D,"4-Cyl, Turbo, 2.0 Liter",22 City / 31 Hwy,Black,Brown,"Auto, 6-Spd D-Cltch Strnc",2 Door Convertible,1,"$25,990","43,613 miles"
18,2016 DODGE,CHARGER,SXT Sedan 4D,"V6, 3.6 Liter",19 City / 31 Hwy,Gray,Black,"Auto, 8-Spd W/AutoStk",4 Door Sedan,1,"$20,990","49,273 miles"
19,2011 CHEVROLET,IMPALA,LT Sedan 4D,"V6, Flex Fuel, 3.5 Liter",19 City / 29 Hwy,White,Lt. Brown,"Automatic, 4-Spd W/Overdrive",4 Door Sedan,2,"$10,990","77,711 miles"
20,2012 NISSAN,ALTIMA,3.5 SR Sedan 4D,"V6, 3.5 Liter",20 City / 27 Hwy,Gray,Black,"Automatic, CVT",4 Door Sedan,1,"$12,590","61,556 miles"
21,2012 HONDA,ACCORD,SE Sedan 4D,"4-Cyl, VTEC, 2.4 Liter",23 City / 34 Hwy,Silver,Black,"Automatic, 5-Spd",4 Door Sedan,1,"$13,590","74,211 miles"
22,2013 MERCEDES-BENZ,M-CLASS,ML 350 4MATIC Sport Utility 4D,"V6, 3.5 Liter",18 City / 23 Hwy,Silver,Gray,"Auto, 7-Spd Manual Mode",4 Door SUV,1,"$20,990","96,545 miles"
23,2013 HYUNDAI,VELOSTER,Coupe 3D,"4-Cyl, 1.6 Liter",28 City / 37 Hwy,Silver,Black,"Auto, 6-Spd EcoShft DCT",3 Door Coupe,1,"$12,590","63,201 miles"
24,2016 VOLKSWAGEN,JETTA,1.8T Sport Sedan 4D,"4-Cyl, PZEV, 1.8T",25 City / 36 Hwy,Black,Black,"Manual, 5-Spd",4 Door Sedan,1,"$12,590","91,931 miles"
25,2013 FORD,MUSTANG,V6 Premium Coupe 2D,"V6, 3.7 Liter",19 City / 31 Hwy,Silver,Char Black Turned Mini Leat,"Auto, 6-Spd SelShft",2 Door Coupe,1,"$14,990","96,078 miles"
26,2017 RAM,1500 CREW CAB,Lone Star Silver Pickup 4D 5 1/2 ft,"V8, HEMI, 5.7 Liter",15 City / 22 Hwy,Black,Black,"Automatic, 8-Spd",4 Door Truck,1,"$27,990","59,825 miles"
27,2012 HONDA,CR-V,EX Sport Utility 4D,"4-Cyl, I-VTEC, 2.4 Liter",23 City / 31 Hwy,Black,Black,"Automatic, 5-Spd",4 Door SUV,1,"$13,990","84,942 miles"
28,2011 HYUNDAI,SANTA FE,SE Sport Utility 4D,"V6, 3.5 Liter",20 City / 26 Hwy,Silver,Gray,"Automatic, 6-Spd W/Overdrive & Shiftronic",4 Door SUV,1,"$12,590","70,611 miles"
29,2013 HYUNDAI,ELANTRA,SE Coupe 2D,"4-Cyl, 1.8 Liter",27 City / 37 Hwy,White,Black,"Auto, 6-Spd W/Shftrnc",2 Door Coupe,1,"$11,590","56,399 miles"
30,2015 CHRYSLER,200,Limited Sedan 4D,"4-Cyl, MultiAir, 2.4L",23 City / 36 Hwy,Silver,Black,"Automatic, 9-Spd",4 Door Sedan,1,"$13,990","51,790 miles"
