0,2016 NISSAN,ROGUE,S Sport Utility 4D,"4-Cyl, 2.5 Liter",25 City / 32 Hwy,Green,Black,"Auto, CVT Xtronic",4 Door SUV,1,"$15,990","56,864 miles"
1,2012 HYUNDAI,SONATA,GLS Sedan 4D,"4-Cyl, 2.4 Liter",24 City / 35 Hwy,Silver,Gray,"Manual, 6-Spd W/Overdrive",4 Door Sedan,1,"$11,590","69,262 miles"
2,2017 HONDA,CIVIC,EX Sedan 4D,"4-Cyl, I-VTEC, 2.0 Liter",31 City / 40 Hwy,Red,Other,"Automatic, CVT",4 Door Sedan,1,"$17,590","48,605 miles"
3,2019 LAND ROVER,DISCOVERY SPORT,SE Sport Utility 4D,"4-Cyl, Turbocharged, 2.0 Liter",21 City / 25 Hwy,Black,Other,"Automatic, 9-Spd",4 Door SUV,1,"$28,590","28,898 miles"
4,2013 KIA,OPTIMA,EX Sedan 4D,"4-Cyl, 2.4 Liter",24 City / 35 Hwy,Burgundy,Beige,"Auto, 6-Spd Sportmatic",4 Door Sedan,1,"$13,590","66,721 miles"
5,2012 BMW,3 SERIES,328i Sedan 4D,"4-Cyl, Turbo, 2.0 Liter",23 City / 33 Hwy,Silver,Black,"Auto, 8-Spd Sport Mode",4 Door Sedan,1,"$14,590","88,450 miles"
6,2019 FORD,FUSION,SE Sedan 4D,"4-Cyl, EcoBoost, Turbo, 1.5 Liter",23 City / 34 Hwy,Red,Lt Pty Clth Vin Bolst St,"Automatic, 6-Spd W/SelectShift",4 Door Sedan,1,"$17,990","12,860 miles"
7,2013 KIA,SOUL,Wagon 4D,"4-Cyl, 1.6 Liter",25 City / 30 Hwy,Gray,Black,"Manual, 6-Spd",4 Door Wagon,1,"$10,990","64,079 miles"
8,2011 HONDA,CR-V,EX Sport Utility 4D,"4-Cyl, VTEC, 2.4 Liter",21 City / 27 Hwy,Black,Black,"Automatic, 5-Spd W/Overdrive",4 Door SUV,1,"$14,590","83,828 miles"
9,2015 KIA,FORTE,LX Sedan 4D,"4-Cyl, 1.8 Liter",26 City / 39 Hwy,Silver,Gray,"Auto, 6-Spd W/Sportmatic & Active ECO System",4 Door Sedan,1,"$11,590","56,749 miles"
10,2017 KIA,FORTE,LX Sedan 4D,"4-Cyl, 2.0 Liter",25 City / 34 Hwy,Blue,Black,"Manual, 6-Spd",4 Door Sedan,1,"$12,990","12,357 miles"
11,2012 SCION,TC,Hatchback Coupe 2D,"4-Cyl, 2.5 Liter",23 City / 31 Hwy,Black,Black,"Auto, 6-Spd W/OD",2 Door Hatchback,1,"$12,990","48,685 miles"
12,2016 JEEP,CHEROKEE,Latitude Sport Utility 4D,"4-Cyl, 2.4 Liter",22 City / 31 Hwy,Black,Black,"Automatic, 9-Spd",4 Door SUV,1,"$15,990","43,822 miles"
13,2013 SUBARU,BRZ,Premium Coupe 2D,"4-Cyl, 2.0 Liter",22 City / 30 Hwy,Blue,Black,"Manual, 6-Spd",2 Door Coupe,1,"$16,990","77,096 miles"
14,2018 KIA,FORTE,LX Sedan 4D,"4-Cyl, 2.0 Liter",29 City / 37 Hwy,Silver,Black,"Automatic, 6-Spd W/Sportmatic",4 Door Sedan,1,"$12,990","35,769 miles"
15,2016 SUBARU,WRX,WRX Premium Sedan 4D,"4-Cyl, Turbo, 2.0 Liter",20 City / 27 Hwy,Gray,Black,"Manual, 6-Spd",4 Door Sedan,1,"$21,590","83,074 miles"
16,2019 KIA,RIO,S Sedan 4D,"4-Cyl, 1.6 Liter",28 City / 37 Hwy,Blue,Other,"Automatic, 6-Spd W/Sportmatic",4 Door Sedan,1,"$13,590","25,472 miles"
17,2016 JEEP,RENEGADE,Trailhawk Sport Utility 4D,"4-Cyl, MultiAir, 2.4L",21 City / 29 Hwy,White,Black,"Automatic, 9-Spd",4 Door SUV,1,"$18,990","40,000 miles"
18,2014 FORD,FUSION,SE Sedan 4D,4-Cyl EcoBoost Turbo 2.0L,22 City / 33 Hwy,White,Dune Leather Trim Seats,"Automatic, 6-Spd",4 Door Sedan,1,"$11,990","77,448 miles"
19,2018 AUDI,A5,Premium Plus Sedan 4D,"4-Cyl, Turbo, 2.0 Liter",24 City / 34 Hwy,Black,Gray,"Auto, 7-Spd S Tronic",4 Door Sedan,1,"$33,590","35,303 miles"
20,2013 HONDA,ACCORD,LX Sedan 4D,"4-Cyl, PZEV, 2.4 Liter",27 City / 36 Hwy,Black,Tan,"Automatic, CVT",4 Door Sedan,1,"$13,590","80,144 miles"
21,2015 SUBARU,FORESTER,2.5i Touring Sport Utility 4D,"4-Cyl, PZEV, 2.5 Liter",24 City / 32 Hwy,Red,Gray,"Auto, CVT Lineartronic",4 Door SUV,1,"$19,990","44,408 miles"
22,2017 DODGE,CHARGER,SE Sedan 4D,"V6, 3.6 Liter",19 City / 30 Hwy,Gray,Black,"Auto, 8-Spd W/AutoStk",4 Door Sedan,1,"$20,990","34,648 miles"
23,2016 KIA,SORENTO,LX Sport Utility 4D,"4-Cyl, GDI, 2.4 Liter",21 City / 29 Hwy,Silver,Black,"Auto, 6-Spd OD Sptmatc",4 Door SUV,2,"$15,990","59,004 miles"
24,2016 ACURA,TLX,3.5 Sedan 4D,"V6, I-VTEC, 3.5 Liter",21 City / 34 Hwy,Black,Black,"Auto, 9-Spd W/SprtShft",4 Door Sedan,1,"$19,990","54,171 miles"
25,2010 BMW,3 SERIES,328i Sedan 4D,"6-Cyl, 3.0 Liter",18 City / 28 Hwy,White,Black,"Automatic, 6-Spd W/Overdrive & Steptronic",4 Door Sedan,1,"$12,590","74,034 miles"
26,2016 RAM,1500 CREW CAB,Tradesman Pickup 4D 5 1/2 ft ,V6 Turbo EcoDiesel 3.0,20 City / 28 Hwy,Gray,Gray,"Automatic, 8-Spd",4 Door Truck,1,"$25,590"," 44,942 miles"
27,2012 HYUNDAI,ELANTRA,Limited Sedan 4D,"4-Cyl, 1.8 Liter",28 City / 38 Hwy,Black,Black,"Auto, 6-Spd W/OD & Shftrnc",4 Door Sedan,2,"$11,590","62,509 miles"
28,2017 FORD,ESCAPE,SE Sport Utility 4D,"4-Cyl, EcoBoost, 1.5T",23 City / 30 Hwy,Black,Charcoal Black Cloth Seats,"Auto, 6-Spd W/SelShft",4 Door SUV,1,"$16,990","24,150 miles"
29,2010 BMW,3 SERIES,335i xDrive Sedan 4D,"6-Cyl, Twin Turbo, 3.0L",17 City / 26 Hwy,Gray,Black,"Automatic, 6-Spd W/Overdrive & Steptronic",4 Door Sedan,1,"$12,990","82,235 miles"
30,2017 SUBARU,LEGACY,2.5i Sedan 4D,"4-Cyl, PZEV, 2.5 Liter",25 City / 34 Hwy,Gray,Black,"Auto, CVT W/Manual Mode",4 Door Sedan,1,"$17,590","20,139 miles"
31,2013 HYUNDAI,SONATA,GLS Sedan 4D,"4-Cyl, 2.4 Liter",24 City / 35 Hwy,White,Beige,"Auto, 6-Spd WShiftronic & Active ECO System",4 Door Sedan,2,"$9,990","102,762 miles"
32,2018 DODGE,DURANGO,R/T Sport Utility 4D,"V8, HEMI, 5.7 Liter",14 City / 22 Hwy,Black,Black Interior Color,"Automatic, 8-Spd",4 Door SUV,1,"$35,990","19,903 miles"
33,2015 MERCEDES-BENZ,S-CLASS,S 550 Sedan 4D,"V8, TT. 4.7L",17 City / 26 Hwy,White,Black,"Auto, 7-Spd Adptv Spt",4 Door Sedan,1,"$49,990","27,277 miles"
34,2017 MINI,HARDTOP 2 DOOR,Cooper Hatchback 2D,"3-Cyl, Turbo, 1.5 Liter",27 City / 38 Hwy,White,Black Leatherette,"Auto, 6-Spd Steptronic",2 Door Hatchback,1,"$17,990","18,053 miles"
35,2015 MERCEDES-BENZ,CLA-CLASS,CLA 250 Coupe 4D,"4-Cyl, Turbo, 2.0 Liter",26 City / 38 Hwy,Black,Black,"Auto, 7-Spd Dbl Clutch",4 Door Coupe,1,"$20,990","51,971 miles"
36,2016 DODGE,DART,SXT Sport Sedan 4D,"4-Cyl, FF, 2.0L",24 City / 34 Hwy,White,Black,"Automatic, 6-Spd",4 Door Sedan,1,"$12,990","41,958 miles"
37,2016 HYUNDAI,ELANTRA,SE Sedan 4D,"4-Cyl, 1.8 Liter",28 City / 38 Hwy,Gray,Beige,"Auto, 6-Spd Shiftronic",4 Door Sedan,1,"$12,990","52,613 miles"
38,2015 FORD,FUSION,S Sedan 4D,"4-Cyl, 2.5 Liter",22 City / 34 Hwy,White,Earth Cloth Seats,"Auto, 6-Spd W/SelShft",4 Door Sedan,1,"$11,590","99,063 miles"
39,2016 BMW,X1,xDrive28i Sport Utility 4D,"4-Cyl, Twin Turbo, 2.0L",22 City / 32 Hwy,Blue,Lt. Gray,Auto 8-Spd Stptrnc Manual,4 Door SUV,2,"$23,590","33,775 miles"
40,2013 AUDI,A6,3.0T Premium Plus Sedan 4D,"V6, Supercharged, 3.0 Liter",18 City / 27 Hwy,Blue,Brown,"Auto, 8-Spd Tiptronic",4 Door Sedan,1,"$19,990","62,165 miles"
41,2012 LEXUS,CT,CT 200h Hatchback 4D,"4-Cyl, Hybrid, 1.8 Liter",43 City / 40 Hwy,Brown,Black,"Automatic, CVT",4 Door Hatchback,2,"$13,990","95,097 miles"
