0,2017 MERCEDES-BENZ,GLC COUPE,GLC 300 4MATIC Sport Utility 4D,"4-Cyl, Turbo, 2.0 Liter",22 City / 27 Hwy,Black,Black,"Automatic, 9-Spd 9G-Tronic",4 Door SUV,2,"$41,590","30,171 miles"
1,2017 TOYOTA,TUNDRA DOUBLE CAB,Limited Pickup 4D 6 1/2 ft,"V8, 5.7 Liter",13 City / 17 Hwy,Silver,Black,"Auto, 6-Spd Seq Mode",4 Door Truck,2,"$39,590","43,474 miles"
2,2020 KIA,TELLURIDE,SX Sport Utility 4D ,"V6, GDI, 3.8 Liter",19 City / 24 Hwy,Black,Black,"Automatic, 8-Spd W/Sportmatic",4 Door SUV,2,"$43,990"," 28,071 miles"
3,2014 TOYOTA,TUNDRA CREWMAX,Platinum Pickup 4D 5 1/2 ft,"V8, 5.7 Liter",13 City / 17 Hwy,Gray,Black,"Automatic, 6-Spd W/Sequential Mode",4 Door Truck,2,"$34,990","89,337 miles"
4,2014 AUDI,RS 5,Coupe 2D,"V8, 4.2 Liter",16 City / 23 Hwy,White,Black,"Auto, 7-Spd S Trnc Spt",2 Door Coupe,2,"$40,590","33,124 miles"
5,2020 VOLVO,XC60,T6 Momentum Sport Utility 4D ,"4-Cyl, Drive-E, Turbo, Supercharged, 2.0 Liter",20 City / 27 Hwy,Gray,Black,"Automatic, 8-Spd Geartronic W/Adaptive Shift",4 Door SUV,2,"$36,990"," 19,865 miles"
6,2018 BMW,X5,sDrive35i Sport Utility 4D ,"6-Cyl, Turbo, 3.0 Liter",18 City / 25 Hwy,White,Black Sensatec,Auto 8-Spd Spt Steptrnc,4 Door SUV,2,"$38,590"," 22,213 miles"
7,2015 PORSCHE,MACAN,Turbo Sport Utility 4D ,"V6, Twin Turbo, 3.6 Liter",17 City / 23 Hwy,Black,Black,"Auto, 7-Spd PDK Dbl-Cltch",4 Door SUV,2,"$37,990"," 60,502 miles"
8,2019 MERCEDES-BENZ,GLS,GLS 450 4MATIC Sport Utility 4D,"V6, Twin Turbo, 3.0 Liter",16 City / 22 Hwy,Black,Black,"Automatic, 9-Spd 9G-Tronic",4 Door SUV,2,"$54,990","18,697 miles"
9,2020 JAGUAR,F-PACE,25t Sport Utility 4D ,"4-Cyl, Turbo, 2.0 Liter",22 City / 27 Hwy,White,Black,"Automatic, 8-Spd W/Sequential Shift",4 Door SUV,2,"$35,990"," 20,183 miles"
10,2020 JEEP,GLADIATOR,Sport Pickup 4D 5 ft ,"V6, VVT, 3.6 Liter",17 City / 22 Hwy,Red,Black Interior Color,"Automatic, 8-Spd",4 Door Truck,2,"$36,990"," 20,294 miles"
11,2017 INFINITI,QX80,Sport Utility 4D,"V8, 5.6 Liter",14 City / 20 Hwy,Gray,Graphite,"Auto, 7-Spd Rev Matching",4 Door SUV,1,"$36,990","33,534 miles"
12,2018 MERCEDES-BENZ,SLC,SLC 300 Roadster 2D,"4-Cyl, Turbo, 2.0 Liter",25 City / 32 Hwy,Red,Beige,"Automatic, 9-Spd 9G-Tronic",2 Door Convertible,2,"$38,590","8,858 miles"
13,2020 DODGE,DURANGO,Citadel Sport Utility 4D,"V6, 3.6 Liter",18 City / 25 Hwy,Gray,Black Interior Color,"Automatic, 8-Spd",4 Door SUV,2,"$36,990","17,885 miles"
14,2020 CADILLAC,XT4,Premium Luxury Sport Utility 4D ,"4-Cyl, Turbo, 2.0 Liter",22 City / 29 Hwy,White,Light Platinum/Jet Black,"Automatic, 9-Spd",4 Door SUV,2,"$35,990"," 7,688 miles"
15,2019 INFINITI,QX80,LUXE Sport Utility 4D,"V8, 5.6 Liter",14 City / 20 Hwy,Gray,Graphite,"Automatic, 7-Spd Adaptive W/Manual Mode & Downshift Rev Matching",4 Door SUV,2,"$50,990","10,286 miles"
16,2018 ALFA ROMEO,STELVIO,Ti Sport SUV 4D,"4-Cyl, Turbo, 2.0 Liter",22 City / 28 Hwy,Gray,Black/Black Interior Colors,"Automatic, 8-Spd",4 Door SUV,2,"$35,990","10,896 miles"
17,2018 GMC,SIERRA 1500 CREW CAB,SLE Pickup 4D 5 3/4 ft,"V8, EcoTec3, 5.3 Liter",16 City / 22 Hwy,Blue,Jet Black,"Automatic, 6-Spd HD W/Overdrive",4 Door Truck,2,"$35,990","47,743 miles"
18,2020 JEEP,GLADIATOR,Rubicon Pickup 4D 5 ft,"V6, VVT, 3.6 Liter",17 City / 22 Hwy,Red,Black / Dark Saddle Interior Colors,"Automatic, 8-Spd",4 Door Truck,2,"$50,990","13,362 miles"
19,2019 JEEP,WRANGLER,Rubicon Sport Utility 2D,"V6, VVT, 3.6 Liter",18 City / 23 Hwy,Yellow,Black Interior Color,"Automatic, 8-Spd",2 Door SUV,2,"$38,990","13,673 miles"
20,2020 VOLVO,XC60,T6 Momentum Sport Utility 4D ,"4-Cyl, Drive-E, Turbo, Supercharged, 2.0 Liter",20 City / 27 Hwy,Gray,Black,"Automatic, 8-Spd Geartronic W/Adaptive Shift",4 Door SUV,2,"$37,590"," 14,954 miles"
21,2020 DODGE,DURANGO,Citadel Sport Utility 4D,"V6, 3.6 Liter",18 City / 25 Hwy,Gray,Black Interior Color,"Automatic, 8-Spd",4 Door SUV,1,"$37,590","15,067 miles"
22,2020 FORD,EXPLORER,Limited Sport Utility 4D,"4-Cyl, EcoBoost, Turbo, 2.3 Liter",21 City / 28 Hwy,Red,Black,"Automatic, 10-Spd W/SelectShift",4 Door SUV,1,"$38,590","18,053 miles"
23,2017 BMW,X5,xDrive35i Sport Utility 4D,"6-Cyl, Turbo, 3.0 Liter",18 City / 24 Hwy,White,Black,Auto 8-Spd Steptrnc Adptv,4 Door SUV,2,"$36,990","39,213 miles"
24,2016 CHEVROLET,SUBURBAN,LT Sport Utility 4D ,"V8, EcoTec3, 5.3 Liter",16 City / 23 Hwy,Black,Jet Black,"Automatic, 6-Spd W/Overdrive",4 Door SUV,2,"$35,590"," 56,452 miles"
25,2020 JEEP,GLADIATOR,Sport Pickup 4D 5 ft ,"V6, VVT, 3.6 Liter",17 City / 22 Hwy,White,Black Interior Color,"Automatic, 8-Spd",4 Door Truck,2,"$37,590"," 16,012 miles"
26,2020 JEEP,WRANGLER,Rubicon Sport Utility 2D,"4-Cyl, Turbo, 2.0 Liter",22 City / 24 Hwy,Green,Black Interior Color,"Automatic, 8-Spd",2 Door SUV,2,"$38,990","11,460 miles"
27,2018 FORD,F150 SUPERCREW CAB,Platinum Pickup 4D 5 1/2 ft ,"V6, EcoBoost, TT, 3.5L",17 City / 24 Hwy,Blue,Black,"Auto, 10-Spd Spt Mode",4 Door Truck,2,"$41,590"," 26,014 miles"
28,2019 BMW,2 SERIES,M240i Coupe 2D ,"6-Cyl, Turbo, 3.0 Liter",21 City / 30 Hwy,Blue,Black,"Automatic, 8-Spd Sport",2 Door Coupe,2,"$36,990"," 21,801 miles"
29,2020 TOYOTA,4RUNNER,TRD Off-Road Sport Utility 4D,"V6, 4.0 Liter",16 City / 19 Hwy,Black,Black/Caramel,"Automatic, 5-Spd W/Sequential Shift",4 Door SUV,2,"$37,990","20,807 miles"
30,2018 TOYOTA,TUNDRA CREWMAX,1794 Edition Pickup 4D 5 1/2 ft ,"V8, Flex Fuel, 5.7 Liter",13 City / 17 Hwy,White,Black,"Automatic, 6-Spd W/Sequential Mode",4 Door Truck,1,"$43,590"," 44,199 miles"
31,2020 MERCEDES-BENZ,GLC,GLC 300 Sport Utility 4D ,"4-Cyl, Turbo, 2.0 Liter",22 City / 29 Hwy,White,Beige,"Automatic, 9-Spd 9G-Tronic",4 Door SUV,2,"$36,990"," 18,114 miles"
32,2019 GMC,SIERRA 1500 CREW CAB,SLE Pickup 4D 5 3/4 ft ,"V8, EcoTec3, DFM, 5.3 Liter",17 City / 23 Hwy,Gray,Dark Walnut/Slate,"Automatic, 8-Spd W/Overdrive",4 Door Truck,2,"$38,590"," 12,217 miles"
33,2020 FORD,F150 SUPERCREW CAB,King Ranch Pickup 4D 5 1/2 ft,"V8, Flex Fuel, 5.0 Liter",15 City / 21 Hwy,Black,Java I Nt W/Kingsville Leath,"Automatic, 10-Spd W/Sport Mode",4 Door Truck,2,"$54,990","15,175 miles"
34,2019 RAM,1500 CREW CAB,Laramie Pickup 4D 5 1/2 ft ,"V8, HEMI, 5.7 Liter",15 City / 21 Hwy,Red,Black,"Automatic, 8-Spd",4 Door Truck,2,"$42,990"," 29,866 miles"
35,2020 ACURA,MDX,SH-AWD w/Technology Pkg Sport Utility 4D ,"V6, I-VTEC, 3.5 Liter",19 City / 26 Hwy,Black,Black,"Automatic, 9-Spd W/Sequential SportShift",4 Door SUV,2,"$41,590"," 14,960 miles"
36,2020 FORD,EXPLORER,Platinum Sport Utility 4D ,"V6, EcoBoost, Twin Turbo, 3.0 Liter",18 City / 24 Hwy,Black,Ebony Lthr Seat Surfaces,"Automatic, 10-Spd W/SelectShift",4 Door SUV,2,"$44,990"," 18,589 miles"
37,2018 TOYOTA,SEQUOIA,TRD Sport SUV 4D,"V8, 5.7 Liter",13 City / 17 Hwy,Gray,Black,"Automatic, 6-Spd W/Sequential Shift",4 Door SUV,2,"$42,990","26,887 miles"
38,2019 TOYOTA,TUNDRA CREWMAX,SR5 Pickup 4D 5 1/2 ft ,"V8, Flex Fuel, 5.7 Liter",13 City / 17 Hwy,White,Black,"Automatic, 6-Spd W/Sequential Mode",4 Door Truck,1,"$42,590"," 14,325 miles"
39,2017 DODGE,CHALLENGER,SRT 392 Coupe 2D ,"V8, HEMI, 6.4 Liter",14 City / 23 Hwy,Gray,Black,"Manual, 6-Spd",2 Door Coupe,2,"$42,590"," 13,420 miles"
