28,2012 VOLKSWAGEN,TIGUAN,2.0T S Sport Utility 4D,"4-Cyl, Turbo, 2.0 Liter",22 City / 27 Hwy,Gold,Black,"Automatic, 6-Spd W/Tiptronic",4 Door SUV,1,"$12,590","| 82,014 miles"
29,2014 BMW,4 SERIES,428i Coupe 2D,"4-Cyl, SULEV, 2.0T",23 City / 35 Hwy,Silver,Black,"Automatic, 8-Spd Sport",2 Door Coupe,2,"$19,990","| 70,157 miles"
30,2015 MAZDA,MAZDA3,i Grand Touring Sedan 4D,"4-Cyl, SKYACTIV-G, 2.0L",30 City / 41 Hwy,Blue,Black,"Auto, 6-Spd SKYACTIV-Drv",4 Door Sedan,1,"$15,590","| 32,374 miles"
31,2011 MERCEDES-BENZ,GLK-CLASS,GLK 350 4MATIC Sport Utility 4D,"V6, 3.5 Liter",16 City / 21 Hwy,White,Beige,"Auto, 7-Spd Touch Shift",4 Door SUV,1,"$15,990","| 78,345 miles"
32,2014 MAZDA,CX-5,Touring Sport Utility 4D,"4-Cyl, SKYACTIV-G, 2.5L",25 City / 32 Hwy,Red,Black,"Auto, 6-Spd W/MM",4 Door SUV,1,"$15,990","| 47,990 miles"
33,2012 SUBARU,LEGACY,2.5i Limited Sedan 4D,"4-Cyl, 2.5 Liter",23 City / 31 Hwy,Blue,Tan,"Auto, CVT Manual Mode",4 Door Sedan,1,"$11,990","| 86,143 miles"
34,2011 LEXUS,IS,IS 250 Sedan 4D,"V6, 2.5 Liter",21 City / 30 Hwy,Black,Black,"Automatic, 6-Spd W/Overdrive",4 Door Sedan,1,"$16,590","| 79,033 miles"
35,2015 HYUNDAI,VELOSTER,Turbo Coupe 3D,"4-Cyl, Turbo, 1.6 Liter",24 City / 31 Hwy,Red,Black,"Auto, 6-Spd Shiftronic",3 Door Coupe,1,"$12,590","| 100,484 miles"
36,2015 FORD,FOCUS,SE Sedan 4D,"4-Cyl, Flex Fuel, 2.0L",27 City / 40 Hwy,Black,Charcoal Black Cloth Seats,"Auto, 6-Spd Powershift",4 Door Sedan,1,"$10,590","| 96,257 miles"
37,2009 TOYOTA,CAMRY,SE Sedan 4D,"4-Cyl, 2.4 Liter",21 City / 31 Hwy,Gray,Gray,"Automatic, 5-Spd W/Overdrive",4 Door Sedan,1,"$10,990","| 60,704 miles"
38,2016 SUBARU,FORESTER,2.5i Limited Sport Utility 4D,"4-Cyl, PZEV, 2.5 Liter",24 City / 32 Hwy,Silver,Black,"Auto, CVT Lineartronic",4 Door SUV,1,"$17,990","| 74,647 miles"
39,2013 HONDA,CIVIC,LX Sedan 4D,"4-Cyl, I-VTEC, 1.8 Liter",28 City / 39 Hwy,Silver,Gray,"Automatic, 5-Spd",4 Door Sedan,1,"$13,590","| 44,404 miles"
40,2016 MAZDA,MAZDA6,i Touring Sedan 4D,4Cyl PZEV SKYACTIV-G 2.5L,26 City / 38 Hwy,Silver,Black,"Auto, 6-Spd Spt Manual",4 Door Sedan,1,"$16,990","| 34,059 miles"
41,2015 CHRYSLER,200,200S Sedan 4D,"4-Cyl, MultiAir, 2.4L",23 City / 36 Hwy,White,Black,"Automatic, 9-Spd",4 Door Sedan,2,"$11,990","| 98,441 miles"
42,2019 CHEVROLET,SPARK,LS Hatchback 4D,"4-Cyl, ECOTEC, 1.4 Liter",29 City / 38 Hwy,Black,Black,"Manual, 5-Spd",4 Door Hatchback,1,"$12,990","| 19,152 miles"
43,2011 NISSAN,MAXIMA,SV Sedan 4D,"V6, 3.5 Liter",19 City / 26 Hwy,Black,Black,"Automatic, CVT",4 Door Sedan,1,"$11,990","| 83,517 miles"
44,2016 NISSAN,VERSA NOTE,SV Hatchback 4D,"4-Cyl, 1.6 Liter",31 City / 40 Hwy,Red,Charcoal,"Automatic, CVT W/Xtronic",4 Door Hatchback,1,"$11,590","| 59,712 miles"
45,2019 KIA,OPTIMA,LX Sedan 4D,"4-Cyl, 2.4 Liter",24 City / 33 Hwy,Black,Other,"Automatic, 6-Spd W/H-Matic",4 Door Sedan,1,"$15,990","| 43,650 miles"
46,2017 HYUNDAI,ACCENT,SE Sedan 4D,"4-Cyl, 1.6 Liter",26 City / 36 Hwy,Black,Beige/Beige,"Auto, 6-Spd W/Overdrive",4 Door Sedan,1,"$11,990","| 43,103 miles"
47,2015 MITSUBISHI,LANCER,GT Sedan 4D,"4-Cyl, 2.4 Liter",23 City / 30 Hwy,White,Black,"Automatic, CVT W/Sportronic",4 Door Sedan,1,"$12,990","| 66,840 miles"
48,2018 CHEVROLET,MALIBU,LT Sedan 4D,"4-Cyl, Turbo, 1.5 Liter",27 City / 36 Hwy,White,Gray,"Automatic, 6-Spd",4 Door Sedan,1,"$13,590","| 77,482 miles"
49,2014 BMW,3 SERIES,328i Sedan 4D,"4-Cyl, Turbo, 2.0 Liter",23 City / 35 Hwy,Black,Black,"Auto, 8-Spd Steptronic",4 Door Sedan,2,"$17,990","| 57,387 miles"
50,2012 HONDA,CIVIC,LX Sedan 4D,"4-Cyl, VTEC, 1.8 Liter",28 City / 39 Hwy,White,Gray,"Automatic, 5-Spd",4 Door Sedan,2,"$11,990","| 60,322 miles"
51,2011 HYUNDAI,GENESIS,3.8 Sedan 4D,"V6, 3.8 Liter",18 City / 27 Hwy,Beige,Other,"Automatic, 6-Spd W/Overdrive & Shiftronic",4 Door Sedan,1,"$12,990","| 66,936 miles"
52,2015 LEXUS,CT,CT 200h Hatchback 4D,"4-Cyl, Hybrid, 1.8 Liter",43 City / 40 Hwy,Black,Other,"Automatic, CVT",4 Door Hatchback,1,"$19,990","| 36,311 miles"
53,2014 BUICK,VERANO,Sedan 4D,"4-Cyl, ECOTEC, FF, 2.4L",21 City / 32 Hwy,Silver,Other,"Auto, 6-Spd W/Shft Ctrl",4 Door Sedan,1,"$11,590","| 85,326 miles"
54,2012 MAZDA,MAZDA3,i Touring Sedan 4D,"4-Cyl, 2.0 Liter",25 City / 33 Hwy,Black,Black,"Manual, 5-Spd",4 Door Sedan,1,"$10,590","| 88,533 miles"
