0,2013 VOLKSWAGEN,TIGUAN,2.0T SE Sport Utility 4D,"4-Cyl, Turbo, 2.0 Liter",21 City / 26 Hwy,Black,Black,"Auto, 6-Spd DSG W/Tptrnc",4 Door SUV,1,"$12,590","57,160 miles"
1,2014 FORD,MUSTANG,V6 Coupe 2D,"V6, 3.7 Liter",19 City / 29 Hwy,White,Charcoal Black Cloth Blacket,"Manual, 6-Spd",2 Door Coupe,1,"$15,990","58,147 miles"
2,2014 KIA,SOUL,Wagon 4D,"4-Cyl, 1.6 Liter",24 City / 30 Hwy,Green,Black,"Manual, 6-Spd",4 Door Wagon,2,"$11,590","76,869 miles"
3,2015 FORD,FOCUS,Titanium Sedan 4D,"4-Cyl, Flex Fuel, 2.0L",26 City / 38 Hwy,Beige,Med Soft Ceramic Lthr Seats,"Auto, 6-Spd Pwr/SelShift",4 Door Sedan,1,"$12,990","34,223 miles"
4,2018 AUDI,Q5,Premium Plus Sport Utility 4D,"4-Cyl, Turbo, 2.0 Liter",23 City / 27 Hwy,Black,Black,"Automatic, 7-Spd S Tronic Dual-Clutch",4 Door SUV,1,"$29,990","48,215 miles"
5,2017 MITSUBISHI,OUTLANDER,SEL Sport Utility 4D,"4-Cyl, 2.4 Liter",25 City / 30 Hwy,Gray,Black,"Automatic, CVT",4 Door SUV,1,"$17,990","28,003 miles"
6,2016 DODGE,DURANGO,Citadel Sport Utility 4D,"V6, 3.6 Liter",18 City / 25 Hwy,White,Black,"Automatic, 8-Spd",4 Door SUV,1,"$25,990","73,002 miles"
7,2016 NISSAN,VERSA NOTE,SV Hatchback 4D,"4-Cyl, 1.6 Liter",31 City / 40 Hwy,Red,Dk. Gray,"Automatic, CVT W/Xtronic",4 Door Hatchback,2,"$9,990","53,071 miles"
8,2012 TOYOTA,PRIUS,Two Hatchback 4D,"4-Cyl, Hybrid, 1.8 Liter",51 City / 48 Hwy,White,Tan,"Automatic, CVT",4 Door Hatchback,1,"$11,590","86,146 miles"
9,2016 JEEP,CHEROKEE,Limited Sport Utility 4D,"4-Cyl, 2.4 Liter",22 City / 31 Hwy,White,Black Interior Color,"Automatic, 9-Spd",4 Door SUV,1,"$14,990","79,940 miles"
10,2018 AUDI,A4,Ultra Premium Sedan 4D ,"4-Cyl, Turbo, 2.0 Liter",27 City / 37 Hwy,Gray,Black,"Auto, 7-Spd S Tronic",4 Door Sedan,2,"$24,990"," 15,636 miles"
11,2017 TOYOTA,COROLLA,L Sedan 4D,"4-Cyl, 1.8 Liter",28 City / 36 Hwy,Silver,Gray,"Automatic, CVTi-S",4 Door Sedan,1,"$14,590","22,172 miles"
12,2017 FORD,EXPLORER,XLT Sport Utility 4D ,"V6, 3.5 Liter",16 City / 23 Hwy,Brown,Ebony Black Cloth Seats,"Auto, 6-Spd SelectShift",4 Door SUV,1,"$25,990"," 28,074 miles"
13,2019 FORD,FIESTA,ST Line Hatchback 4D,"4-Cyl, 1.6 Liter",27 City / 37 Hwy,Green,Charcoal Black/Red Stitch,"Automatic, 6-Spd PowerShift W/SelectShift",4 Door Hatchback,1,"$13,590","49,435 miles"
14,2013 HYUNDAI,SANTA FE SPORT,Sport Utility 4D,"4-Cyl, GDI, 2.4 Liter",21 City / 29 Hwy,Silver,Gray,"Auto, 6-Spd W/Shftrnc",4 Door SUV,2,"$12,990","96,258 miles"
15,2019 GMC,TERRAIN,SLT Sport Utility 4D,"4-Cyl, 1.5 Liter",24 City / 28 Hwy,Silver,Black,"Automatic, 9-Spd W/Overdrive",4 Door SUV,1,"$20,990","45,120 miles"
16,2018 NISSAN,SENTRA,SV Sedan 4D,"4-Cyl, 1.8 Liter",29 City / 37 Hwy,White,Black,"Auto, CVT W/Xtronic",4 Door Sedan,2,"$12,590","56,899 miles"
17,2020 JEEP,GRAND CHEROKEE,Limited Sport Utility 4D ,"V6, VVT, 3.6 Liter",19 City / 26 Hwy,Gray,Black,"Automatic, 8-Spd",4 Door SUV,2,"$31,990"," 30,616 miles"
18,2016 RAM,1500 CREW CAB,Lone Star Pickup 4D 5 1/2 ft ,"V8, HEMI, 5.7 Liter",15 City / 22 Hwy,Gray,Black,"Automatic, 8-Spd",4 Door Truck,2,"$28,990"," 18,494 miles"
19,2012 BMW,6 SERIES,650i Convertible 2D,"V8, Twin Turbo, 4.4 Liter",15 City / 23 Hwy,White,Brown,"Auto, 8-Spd Manual Spt",2 Door Convertible,1,"$26,590","54,533 miles"
20,2015 NISSAN,ALTIMA,2.5 S Sedan 4D,"4-Cyl, 2.5 Liter",27 City / 38 Hwy,Beige,Beige,"Automatic, Xtronic CVT",4 Door Sedan,1,"$12,990","53,445 miles"
21,2016 VOLKSWAGEN,PASSAT,1.8T S Sedan 4D,"4-Cyl, PZEV, 1.8T",25 City / 38 Hwy,White,Black,"Auto, 6-Spd Tiptronic Spt",4 Door Sedan,1,"$12,590","72,082 miles"
22,2018 HYUNDAI,ELANTRA,SEL Sedan 4D,"4-Cyl, 2.0 Liter",28 City / 37 Hwy,Blue,Gray,"Auto, 6-Spd Shiftronic",4 Door Sedan,1,"$14,590","30,661 miles"
23,2019 FORD,FLEX,SE Sport Utility 4D ,"V6, 3.5 Liter",16 City / 23 Hwy,Blue,Charcoal Black Cloth Seats,"Automatic, 6-Spd W/SelectShift",4 Door SUV,1,"$20,990"," 14,071 miles"
24,2013 TOYOTA,CAMRY,LE Sedan 4D,"4-Cyl, 2.5 Liter",25 City / 35 Hwy,White,Tan,"Automatic, 6-Spd",4 Door Sedan,1,"$12,990","75,768 miles"
25,2013 VOLKSWAGEN,JETTA,Hybrid Sedan 4D,"4-Cyl, Hybrid, PZEV, 1.4T",42 City / 48 Hwy,Silver,Black,Auto 7-Spd DSG Tptrnc Spt,4 Door Sedan,1,"$10,590","77,032 miles"
26,2014 SUBARU,XV CROSSTREK,Premium Sport Utility 4D,"4-Cyl, PZEV, 2.0 Liter",25 City / 33 Hwy,White,Beige,"Auto, CVT Manual Mode",4 Door SUV,1,"$14,590","84,161 miles"
27,2015 TOYOTA,RAV4,Limited Sport Utility 4D,"4-Cyl, 2.5 Liter",24 City / 31 Hwy,Black,Black,"Automatic, 6-Spd",4 Door SUV,1,"$15,990","92,043 miles"
28,2017 INFINITI,Q70,3.7 Sedan 4D ,"V6, 3.7 Liter",18 City / 25 Hwy,Gray,Black,"Auto, 7-Spd Manual",4 Door Sedan,2,"$24,990"," 39,538 miles"
29,2012 CHEVROLET,CRUZE,LTZ Sedan 4D,"4-Cyl, Turbo, 1.4 Liter",26 City / 38 Hwy,Black,Lt. Brown,"Automatic, 6-Spd W/Overdrive",4 Door Sedan,1,"$10,990","90,228 miles"
